,Product,Type,Release_Date,Process_Size,TDP,Die_Size,Transistors,Freq,Foundry,Vendor,Date
4279,3dfx Voodoo5 5500 AGP,GPU,2000-06-22,250.0,30.0,112.0,14.0,166.0,TSMC,Other,2000
2973,NVIDIA GeForce2 MX,GPU,2000-06-28,180.0,39.16129032258065,64.0,20.0,175.0,TSMC,NVIDIA,2000
3007,NVIDIA GeForce2 MX PCI,GPU,2000-06-28,180.0,39.16129032258065,64.0,20.0,175.0,TSMC,NVIDIA,2000
2951,NVIDIA GeForce2 MX DH Pro TV,GPU,2000-06-28,180.0,39.16129032258065,64.0,20.0,175.0,TSMC,NVIDIA,2000
4317,NVIDIA GeForce2 MX DH Pro TV PCI,GPU,2000-06-28,180.0,39.16129032258065,64.0,20.0,175.0,TSMC,NVIDIA,2000
2307,NVIDIA Quadro2 MXR Low Profile,GPU,2000-07-25,180.0,39.16129032258065,64.0,20.0,200.0,TSMC,NVIDIA,2000
2705,NVIDIA Quadro2 MXR,GPU,2000-07-25,180.0,39.16129032258065,64.0,20.0,200.0,TSMC,NVIDIA,2000
3682,ATI All-In-Wonder Radeon 7200,GPU,2000-07-31,180.0,39.16129032258065,111.0,30.0,166.0,TSMC,ATI,2000
1311,Intel Pentium III 1133,CPU,2000-07-31,180.0,29.0,80.0,44.0,1133.0,Intel,Intel,2000
3096,NVIDIA GeForce2 Ultra,GPU,2000-08-14,150.0,39.16129032258065,88.0,25.0,250.0,TSMC,NVIDIA,2000
22,AMD Athlon 1100,CPU,2000-08-14,180.0,60.0,120.0,37.0,1100.0,Unknown,AMD,2000
2409,ATI GameCube GPU,GPU,2000-08-24,180.0,45.0,120.0,51.0,162.0,NEC,ATI,2000
3502,3dfx Voodoo4 4500 PCI,GPU,2000-10-13,250.0,15.0,112.0,14.0,166.0,TSMC,Other,2000
4187,3dfx Voodoo4 4500 AGP,GPU,2000-10-13,250.0,15.0,112.0,14.0,166.0,TSMC,Other,2000
407,AMD Athlon 1200,CPU,2000-10-17,180.0,66.0,120.0,37.0,1200.0,Unknown,AMD,2000
436,AMD Athlon 1200,CPU,2000-10-31,180.0,66.0,120.0,37.0,1200.0,Unknown,AMD,2000
1379,AMD Athlon 1133,CPU,2000-10-31,180.0,63.0,120.0,37.0,1133.0,Unknown,AMD,2000
2060,AMD Athlon 1000,CPU,2000-10-31,180.0,54.0,120.0,37.0,1000.0,Unknown,AMD,2000
3101,NVIDIA GeForce2 Go,GPU,2000-11-11,180.0,2.0,64.0,20.0,143.0,TSMC,NVIDIA,2000
3019,NVIDIA GeForce2 Go,GPU,2000-11-11,180.0,2.0,64.0,20.0,143.0,TSMC,NVIDIA,2000
1596,Intel Pentium 4 1.5,CPU,2000-11-20,180.0,58.0,217.0,42.0,1500.0,Intel,Intel,2000
998,Intel Pentium 4 1.4,CPU,2000-11-20,180.0,55.0,217.0,42.0,1400.0,Intel,Intel,2000
3935,NVIDIA GeForce2 PRO,GPU,2000-12-05,150.0,39.16129032258065,88.0,25.0,200.0,TSMC,NVIDIA,2000
1048,AMD Athlon XP-M 2500+,CPU,2001-01-01,130.0,45.0,101.0,63.0,1862.0,Unknown,AMD,2001
476,AMD Sempron 3000+,CPU,2001-01-01,130.0,25.0,144.0,69.0,1800.0,Unknown,AMD,2001
1881,AMD Sempron 3300+,CPU,2001-01-01,130.0,62.0,101.0,63.0,2200.0,Unknown,AMD,2001
2709,Matrox Parhelia HR256,GPU,2001-01-01,150.0,54.42,174.0,80.0,200.0,UMC,Other,2001
1284,AMD Athlon 64 3400+,CPU,2001-01-01,90.0,67.0,84.0,69.0,2400.0,Unknown,AMD,2001
4138,Matrox Parhelia Precision SGT,GPU,2001-01-01,150.0,54.42,174.0,80.0,200.0,UMC,Other,2001
1092,Intel Pentium 4 HT 517,CPU,2001-01-01,90.0,84.0,109.0,125.0,2933.0,Intel,Intel,2001
189,Intel Pentium 4 HT 515,CPU,2001-01-01,90.0,84.0,109.0,125.0,2933.0,Intel,Intel,2001
1100,AMD Athlon XP 1600+,CPU,2001-01-01,130.0,49.0,80.0,37.0,1400.0,Unknown,AMD,2001
1009,AMD Sempron 2800+,CPU,2001-01-01,130.0,25.0,144.0,69.0,1600.0,Unknown,AMD,2001
1845,Intel Pentium 4 HT 515,CPU,2001-01-01,90.0,84.0,109.0,125.0,2933.0,Intel,Intel,2001
1014,AMD Athlon XP-M 2600+,CPU,2001-01-01,130.0,45.0,101.0,63.0,2000.0,Unknown,AMD,2001
507,AMD Athlon XP-M 2000+,CPU,2001-01-01,130.0,45.0,101.0,63.0,1533.0,Unknown,AMD,2001
2182,AMD Athlon XP 2600+ DTR,CPU,2001-01-01,130.0,68.0,101.0,63.0,1917.0,Unknown,AMD,2001
912,AMD Athlon 64 3400+,CPU,2001-01-01,130.0,89.0,193.0,105.0,2400.0,Unknown,AMD,2001
473,AMD Athlon XP 3000+,CPU,2001-01-01,130.0,68.0,101.0,63.0,2100.0,Unknown,AMD,2001
1245,Intel Pentium 4 HT 517,CPU,2001-01-01,90.0,84.0,109.0,125.0,2933.0,Intel,Intel,2001
1262,AMD Athlon 64 3700+,CPU,2001-01-01,90.0,89.0,199.0,233.0,2200.0,Unknown,AMD,2001
1325,AMD Athlon 64 X2 3600+,CPU,2001-01-01,90.0,89.0,156.0,154.0,2000.0,Unknown,AMD,2001
898,AMD Athlon XP 1800+,CPU,2001-01-01,130.0,51.0,80.0,37.0,1533.0,Unknown,AMD,2001
430,Intel Pentium 4 2.0,CPU,2001-01-01,130.0,110.0,146.0,55.0,2000.0,Intel,Intel,2001
2002,AMD Athlon XP 3200+,CPU,2001-01-01,130.0,77.0,101.0,63.0,2200.0,Unknown,AMD,2001
1356,AMD Athlon 64 3000+,CPU,2001-01-01,90.0,51.0,84.0,69.0,2000.0,Unknown,AMD,2001
443,AMD Athlon XP 2800+ DTR,CPU,2001-01-01,130.0,68.0,101.0,63.0,2083.0,Unknown,AMD,2001
1454,AMD Athlon XP-M 2400+,CPU,2001-01-01,130.0,45.0,101.0,63.0,1800.0,Unknown,AMD,2001
952,AMD Athlon 64 3000+,CPU,2001-01-01,90.0,51.0,84.0,69.0,2000.0,Unknown,AMD,2001
2086,AMD Athlon XP 2100+,CPU,2001-01-01,130.0,62.0,80.0,37.0,1733.0,Unknown,AMD,2001
881,Intel Pentium 4 HT 516,CPU,2001-01-01,90.0,84.0,109.0,125.0,2933.0,Intel,Intel,2001
424,AMD Athlon 64 3200+,CPU,2001-01-01,130.0,89.0,193.0,105.0,2200.0,Unknown,AMD,2001
1348,AMD Athlon 64 4000+,CPU,2001-01-01,90.0,89.0,199.0,233.0,2400.0,Unknown,AMD,2001
3056,Matrox Parhelia Precision SDT,GPU,2001-01-01,150.0,54.42,174.0,80.0,200.0,UMC,Other,2001
1932,AMD Athlon 64 3200+,CPU,2001-01-01,90.0,59.0,84.0,69.0,2200.0,Unknown,AMD,2001
909,AMD Athlon XP 2800+,CPU,2001-01-01,130.0,68.0,101.0,63.0,2083.0,Unknown,AMD,2001
1335,AMD Sempron 2300+,CPU,2001-01-01,130.0,62.0,101.0,63.0,1583.0,Unknown,AMD,2001
409,AMD Athlon XP-M 2200+,CPU,2001-01-01,130.0,45.0,101.0,63.0,1667.0,Unknown,AMD,2001
1022,Intel Pentium 4 HT 516,CPU,2001-01-01,90.0,84.0,109.0,125.0,2933.0,Intel,Intel,2001
720,AMD Athlon XP 1700+,CPU,2001-01-01,130.0,50.0,80.0,37.0,1467.0,Unknown,AMD,2001
3290,Matrox Parhelia PCI,GPU,2001-01-01,150.0,54.42,174.0,80.0,200.0,UMC,Other,2001
1147,AMD Sempron 2600+,CPU,2001-01-01,130.0,25.0,144.0,69.0,1600.0,Unknown,AMD,2001
24,AMD Athlon 64 3500+,CPU,2001-01-01,90.0,67.0,115.0,105.0,2200.0,Unknown,AMD,2001
1206,AMD Sempron 2200+,CPU,2001-01-01,130.0,62.0,101.0,63.0,1500.0,Unknown,AMD,2001
543,AMD Athlon XP-M 3000+,CPU,2001-01-01,130.0,45.0,101.0,63.0,2200.0,Unknown,AMD,2001
1570,AMD Sempron 2500+,CPU,2001-01-01,130.0,62.0,101.0,63.0,1750.0,Unknown,AMD,2001
715,AMD Athlon XP 2600+,CPU,2001-01-01,130.0,68.0,101.0,63.0,1917.0,Unknown,AMD,2001
1511,AMD Sempron 2400+,CPU,2001-01-01,130.0,62.0,101.0,63.0,1667.0,Unknown,AMD,2001
1751,AMD Athlon XP 1900+,CPU,2001-01-01,130.0,53.0,80.0,37.0,1600.0,Unknown,AMD,2001
1225,AMD Athlon XP 1700+,CPU,2001-01-01,130.0,50.0,80.0,37.0,1467.0,Unknown,AMD,2001
3546,Matrox Parhelia DL256,GPU,2001-01-01,150.0,54.42,174.0,80.0,200.0,UMC,Other,2001
519,Intel Pentium 4 HT 524,CPU,2001-01-01,90.0,84.0,109.0,125.0,3060.0,Intel,Intel,2001
545,AMD Sempron 2600+,CPU,2001-01-01,130.0,62.0,101.0,63.0,1833.0,Unknown,AMD,2001
730,AMD Athlon 64 3400+,CPU,2001-01-01,90.0,67.0,83.0,69.0,2200.0,Unknown,AMD,2001
1735,AMD Sempron 3100+,CPU,2001-01-01,130.0,25.0,144.0,69.0,1800.0,Unknown,AMD,2001
3736,Intel i830M Graphics,GPU,2001-01-01,150.0,54.42,118.62121212121212,57.18796992481203,166.0,Intel,Intel,2001
1473,AMD Athlon XP 2200+,CPU,2001-01-01,130.0,63.0,80.0,37.0,1800.0,Unknown,AMD,2001
1818,AMD Sempron 2800+,CPU,2001-01-01,130.0,62.0,101.0,63.0,2000.0,Unknown,AMD,2001
1768,AMD Athlon XP 3000+,CPU,2001-01-01,130.0,68.0,101.0,63.0,2167.0,Unknown,AMD,2001
1703,Intel Pentium 4 HT 524,CPU,2001-01-01,90.0,84.0,109.0,125.0,3060.0,Intel,Intel,2001
1914,Intel Pentium 4 1.3,CPU,2001-01-03,180.0,52.0,217.0,42.0,1300.0,Intel,Intel,2001
2866,NVIDIA GeForce2 Go 200,GPU,2001-02-06,180.0,2.0,64.0,20.0,143.0,TSMC,NVIDIA,2001
3480,NVIDIA GeForce2 Go 100,GPU,2001-02-06,180.0,2.0,64.0,20.0,125.0,TSMC,NVIDIA,2001
3378,ATI Radeon VE,GPU,2001-02-19,180.0,23.0,115.0,30.0,183.0,TSMC,ATI,2001
2245,ATI Radeon 7000,GPU,2001-02-19,180.0,23.0,80.0,30.0,183.0,TSMC,ATI,2001
4460,ATI Radeon 7000 PCI,GPU,2001-02-19,180.0,23.0,80.0,30.0,133.0,TSMC,ATI,2001
4041,ATI Radeon VE PCI,GPU,2001-02-19,180.0,23.0,115.0,30.0,183.0,TSMC,ATI,2001
3358,NVIDIA GeForce3,GPU,2001-02-27,150.0,54.42,128.0,57.0,200.0,TSMC,NVIDIA,2001
3146,NVIDIA GeForce2 MX 200 LP,GPU,2001-03-03,180.0,54.42,64.0,20.0,175.0,TSMC,NVIDIA,2001
3669,NVIDIA GeForce2 MX 200,GPU,2001-03-03,180.0,54.42,64.0,20.0,175.0,TSMC,NVIDIA,2001
4743,NVIDIA GeForce2 MX 400,GPU,2001-03-03,180.0,54.42,64.0,20.0,200.0,TSMC,NVIDIA,2001
4604,NVIDIA GeForce2 MX 400 PCI,GPU,2001-03-03,180.0,54.42,64.0,20.0,200.0,TSMC,NVIDIA,2001
2698,NVIDIA GeForce2 MX 200 PCI,GPU,2001-03-03,180.0,54.42,64.0,20.0,175.0,TSMC,NVIDIA,2001
3518,ATI Fire GL4,GPU,2001-03-14,147.53731343283582,54.42,156.0,57.18796992481203,150.0,IBM,ATI,2001
556,AMD Athlon 1300,CPU,2001-03-21,180.0,68.0,120.0,37.0,1300.0,Unknown,AMD,2001
661,AMD Athlon 1333,CPU,2001-03-21,180.0,70.0,120.0,37.0,1333.0,Unknown,AMD,2001
2412,NVIDIA Quadro2 Pro,GPU,2001-03-22,150.0,54.42,88.0,25.0,200.0,TSMC,NVIDIA,2001
2317,Sony Playstation 2 GPU 180nm,GPU,2001-04-18,180.0,79.0,188.0,54.0,147.0,Sony,Other,2001
2118,Intel Pentium 4 1.7,CPU,2001-04-23,180.0,64.0,217.0,42.0,1700.0,Intel,Intel,2001
4473,ATI Radeon LE,GPU,2001-05-01,180.0,54.42,115.0,30.0,148.0,TSMC,ATI,2001
4677,NVIDIA Quadro DCC,GPU,2001-05-14,150.0,54.42,128.0,57.0,200.0,TSMC,NVIDIA,2001
1630,Intel Pentium III 1000S,CPU,2001-06-01,130.0,30.0,80.0,44.0,1000.0,Intel,Intel,2001
408,Intel Pentium III  800,CPU,2001-06-01,180.0,38.0,80.0,44.0,800.0,Intel,Intel,2001
579,Intel Pentium III  933,CPU,2001-06-01,180.0,27.0,80.0,44.0,933.0,Intel,Intel,2001
397,Intel Pentium III 1000,CPU,2001-06-01,180.0,29.0,80.0,44.0,1000.0,Intel,Intel,2001
994,Intel Pentium III 1133S,CPU,2001-06-01,130.0,29.0,80.0,44.0,1133.0,Intel,Intel,2001
43,Intel Pentium III  866,CPU,2001-06-01,180.0,38.0,80.0,44.0,866.0,Intel,Intel,2001
886,Intel Pentium III 1133,CPU,2001-06-01,180.0,29.0,80.0,44.0,1133.0,Intel,Intel,2001
2428,NVIDIA GeForce2 MX + nForce 220,GPU,2001-06-04,180.0,54.42,65.0,20.0,175.0,Unknown,NVIDIA,2001
4092,NVIDIA GeForce2 MX + nForce 420,GPU,2001-06-04,180.0,54.42,65.0,20.0,175.0,Unknown,NVIDIA,2001
1127,AMD Athlon 1400,CPU,2001-06-06,180.0,72.0,120.0,37.0,1400.0,Unknown,AMD,2001
822,AMD Athlon 1400,CPU,2001-06-06,180.0,72.0,120.0,37.0,1400.0,Unknown,AMD,2001
1799,Intel Pentium III 1133,CPU,2001-07-01,130.0,29.0,80.0,44.0,1133.0,Intel,Intel,2001
29,Intel Pentium III 1266S,CPU,2001-07-01,130.0,30.0,80.0,44.0,1266.0,Intel,Intel,2001
1700,Intel Pentium III 1000,CPU,2001-07-01,130.0,30.0,80.0,44.0,1000.0,Intel,Intel,2001
1734,Intel Pentium III 1200,CPU,2001-07-01,130.0,30.0,80.0,44.0,1200.0,Intel,Intel,2001
477,Intel Pentium 4 1.8A,CPU,2001-07-02,180.0,67.0,217.0,42.0,1800.0,Intel,Intel,2001
1716,Intel Pentium 4 1.6,CPU,2001-07-02,180.0,61.0,217.0,42.0,1600.0,Intel,Intel,2001
2351,ATI FireGL 8800,GPU,2001-08-14,150.0,54.42,120.0,60.0,300.0,TSMC,ATI,2001
2266,ATI Radeon DDR VIVO SE,GPU,2001-08-14,180.0,54.42,115.0,30.0,187.0,TSMC,ATI,2001
3534,ATI Radeon 7500 LE,GPU,2001-08-14,150.0,23.0,83.0,60.0,250.0,TSMC,ATI,2001
3429,ATI Radeon 7500,GPU,2001-08-14,150.0,23.0,83.0,60.0,290.0,TSMC,ATI,2001
4193,ATI FireGL 8700,GPU,2001-08-14,150.0,54.42,120.0,60.0,250.0,TSMC,ATI,2001
3418,ATI Radeon 8500,GPU,2001-08-14,150.0,23.0,120.0,60.0,275.0,TSMC,ATI,2001
2996,ATI Radeon DDR VIVO OEM,GPU,2001-08-14,180.0,54.42,115.0,30.0,166.0,TSMC,ATI,2001
3872,ATI Radeon DDR VIVO,GPU,2001-08-14,180.0,54.42,115.0,30.0,183.0,TSMC,ATI,2001
3664,NVIDIA Quadro2 Go,GPU,2001-08-14,180.0,54.42,64.0,20.0,143.0,TSMC,NVIDIA,2001
707,Intel Pentium 4 1.4,CPU,2001-08-27,180.0,55.0,217.0,42.0,1400.0,Intel,Intel,2001
1600,Intel Pentium 4 2.0,CPU,2001-08-27,180.0,72.0,217.0,42.0,2000.0,Intel,Intel,2001
977,Intel Pentium 4 1.6,CPU,2001-08-27,180.0,61.0,217.0,42.0,1600.0,Intel,Intel,2001
2031,Intel Pentium 4 1.7,CPU,2001-08-27,180.0,64.0,217.0,42.0,1700.0,Intel,Intel,2001
1863,Intel Pentium 4 2.0,CPU,2001-08-27,180.0,72.0,217.0,42.0,2000.0,Intel,Intel,2001
571,Intel Pentium 4 1.9,CPU,2001-08-27,180.0,69.0,217.0,42.0,1900.0,Intel,Intel,2001
144,Intel Pentium 4 1.80,CPU,2001-08-27,180.0,67.0,217.0,42.0,1800.0,Intel,Intel,2001
295,Intel Pentium 4 1.9,CPU,2001-08-27,180.0,69.0,217.0,42.0,1900.0,Intel,Intel,2001
1933,Intel Pentium 4 1.5,CPU,2001-08-27,180.0,58.0,217.0,42.0,1500.0,Intel,Intel,2001
3242,ATI All-In-Wonder Radeon 8500DV,GPU,2001-08-30,150.0,54.42,120.0,60.0,230.0,TSMC,ATI,2001
4288,ATI Mobility FireGL 7800,GPU,2001-09-29,150.0,27.0,68.0,60.0,280.0,TSMC,ATI,2001
3446,NVIDIA GeForce2 Ti,GPU,2001-10-01,150.0,54.42,88.0,25.0,250.0,TSMC,NVIDIA,2001
3553,NVIDIA GeForce3 Ti200,GPU,2001-10-01,150.0,54.42,128.0,57.0,175.0,TSMC,NVIDIA,2001
4262,NVIDIA GeForce3 Ti500,GPU,2001-10-01,150.0,54.42,128.0,57.0,240.0,TSMC,NVIDIA,2001
1646,AMD Athlon XP 1800+,CPU,2001-10-09,180.0,66.0,150.0,37.0,1533.0,Unknown,AMD,2001
2021,AMD Athlon XP 1700+,CPU,2001-10-09,180.0,64.0,150.0,37.0,1467.0,Unknown,AMD,2001
1709,AMD Athlon XP 1600+,CPU,2001-10-09,180.0,63.0,150.0,37.0,1400.0,Unknown,AMD,2001
1882,AMD Athlon XP 1500+,CPU,2001-10-09,180.0,60.0,150.0,63.0,1333.0,Unknown,AMD,2001
120,AMD Athlon XP 1900+,CPU,2001-11-05,180.0,68.0,150.0,37.0,1600.0,Unknown,AMD,2001
3152,ATI All-In-Wonder Radeon 8500,GPU,2001-11-14,150.0,54.42,120.0,60.0,275.0,TSMC,ATI,2001
3311,NVIDIA Xbox GPU,GPU,2001-11-15,150.0,54.42,142.0,57.0,233.0,TSMC,NVIDIA,2001
4185,Matrox Millennium G550,GPU,2001-11-26,180.0,54.42,118.62121212121212,10.0,125.0,UMC,Other,2001
2794,Matrox Millennium G550 PCIe,GPU,2001-11-26,180.0,54.42,118.62121212121212,10.0,125.0,UMC,Other,2001
4627,ATI Mobility Radeon,GPU,2001-12-01,180.0,54.42,115.0,30.0,144.0,TSMC,ATI,2001
4035,ATI Mobility Radeon-P,GPU,2001-12-01,180.0,54.42,115.0,30.0,166.0,TSMC,ATI,2001
1371,Intel Pentium III 1333,CPU,2001-12-01,130.0,30.0,80.0,44.0,1333.0,Intel,Intel,2001
4081,ATI Mobility Radeon,GPU,2001-12-01,180.0,54.42,115.0,30.0,144.0,TSMC,ATI,2001
121,Intel Pentium III 1400,CPU,2001-12-01,130.0,31.0,80.0,44.0,1400.0,Intel,Intel,2001
3376,ATI Mobility Radeon 7500C,GPU,2001-12-01,150.0,27.0,68.0,60.0,230.0,TSMC,ATI,2001
2995,ATI Mobility Radeon 7500,GPU,2001-12-01,150.0,27.0,68.0,60.0,280.0,TSMC,ATI,2001
3874,ATI Mobility Radeon 7500,GPU,2001-12-01,150.0,27.0,68.0,60.0,230.0,TSMC,ATI,2001
3507,Intel i830MG Graphics,GPU,2002-01-01,150.0,61.95744680851064,116.42156862745098,50.5377358490566,100.0,Intel,Intel,2002
3417,Intel Extreme Graphics,GPU,2002-01-01,150.0,61.95744680851064,116.42156862745098,50.5377358490566,200.0,Intel,Intel,2002
4252,ATI Mobility FireGL 9000,GPU,2002-01-01,150.0,61.95744680851064,81.0,36.0,250.0,UMC,ATI,2002
3288,Matrox Millenium P650,GPU,2002-01-02,150.0,61.95744680851064,116.42156862745098,80.0,190.0,UMC,Other,2002
3915,Matrox Millenium P750,GPU,2002-01-02,150.0,61.95744680851064,116.42156862745098,80.0,250.0,UMC,Other,2002
1859,Intel Pentium 4 2.2,CPU,2002-01-07,130.0,92.0,146.0,55.0,2200.0,Intel,Intel,2002
226,Intel Pentium 4 2.0,CPU,2002-01-07,130.0,92.0,146.0,125.0,2000.0,Intel,Intel,2002
1979,Intel Pentium 4 2.26,CPU,2002-01-07,130.0,110.0,146.0,55.0,2261.0,Intel,Intel,2002
1032,AMD Athlon XP 2000+,CPU,2002-01-07,180.0,70.0,150.0,37.0,1667.0,Unknown,AMD,2002
67,Intel Pentium III 1400S,CPU,2002-01-08,130.0,32.0,80.0,44.0,1400.0,Intel,Intel,2002
2728,ATI Radeon 8500 LE,GPU,2002-02-04,150.0,23.0,120.0,60.0,250.0,TSMC,ATI,2002
4079,NVIDIA GeForce4 Ti 4200,GPU,2002-02-06,150.0,61.95744680851064,142.0,63.0,250.0,TSMC,NVIDIA,2002
4332,NVIDIA GeForce4 MX 440-SE,GPU,2002-02-06,150.0,61.95744680851064,65.0,29.0,250.0,TSMC,NVIDIA,2002
4324,NVIDIA GeForce4 Ti 4600,GPU,2002-02-06,150.0,61.95744680851064,142.0,63.0,300.0,TSMC,NVIDIA,2002
2311,NVIDIA GeForce4 MX 440-SE,GPU,2002-02-06,150.0,61.95744680851064,65.0,29.0,250.0,TSMC,NVIDIA,2002
2615,NVIDIA GeForce4 MX 420 PCI,GPU,2002-02-06,150.0,61.95744680851064,65.0,29.0,250.0,TSMC,NVIDIA,2002
3510,NVIDIA GeForce4 MX 460,GPU,2002-02-06,150.0,61.95744680851064,65.0,29.0,300.0,TSMC,NVIDIA,2002
2339,NVIDIA GeForce4 Ti 4200-8X,GPU,2002-02-06,150.0,61.95744680851064,101.0,36.0,250.0,TSMC,NVIDIA,2002
4607,NVIDIA GeForce4 420 Go,GPU,2002-02-06,150.0,61.95744680851064,65.0,29.0,200.0,TSMC,NVIDIA,2002
4618,NVIDIA GeForce4 Ti 4200-8X,GPU,2002-02-06,150.0,61.95744680851064,101.0,36.0,250.0,TSMC,NVIDIA,2002
4638,NVIDIA GeForce4 MX 440 Mac Edition,GPU,2002-02-06,150.0,61.95744680851064,65.0,29.0,275.0,TSMC,NVIDIA,2002
3928,NVIDIA GeForce4 MX 440,GPU,2002-02-06,150.0,61.95744680851064,65.0,29.0,275.0,TSMC,NVIDIA,2002
3349,NVIDIA GeForce4 440 Go,GPU,2002-02-06,150.0,61.95744680851064,65.0,29.0,220.0,TSMC,NVIDIA,2002
3647,NVIDIA GeForce4 Ti 4200,GPU,2002-02-06,150.0,61.95744680851064,142.0,63.0,250.0,TSMC,NVIDIA,2002
4458,NVIDIA GeForce4 Ti 4400,GPU,2002-02-06,150.0,61.95744680851064,142.0,63.0,275.0,TSMC,NVIDIA,2002
3531,NVIDIA GeForce4 MX 420,GPU,2002-02-06,150.0,61.95744680851064,65.0,29.0,250.0,TSMC,NVIDIA,2002
4017,NVIDIA GeForce4 410 Go,GPU,2002-02-06,150.0,61.95744680851064,65.0,29.0,200.0,TSMC,NVIDIA,2002
2947,NVIDIA GeForce4 MX 440-SE,GPU,2002-02-06,150.0,61.95744680851064,65.0,29.0,250.0,TSMC,NVIDIA,2002
2403,NVIDIA Quadro4 550 XGL,GPU,2002-02-19,150.0,61.95744680851064,65.0,29.0,270.0,TSMC,NVIDIA,2002
4575,NVIDIA Quadro4 700 XGL,GPU,2002-02-19,150.0,61.95744680851064,142.0,63.0,275.0,TSMC,NVIDIA,2002
3277,NVIDIA Quadro4 500 XGL,GPU,2002-02-19,150.0,61.95744680851064,65.0,29.0,250.0,TSMC,NVIDIA,2002
3011,NVIDIA Quadro4 750 XGL,GPU,2002-02-19,150.0,61.95744680851064,142.0,63.0,275.0,TSMC,NVIDIA,2002
2225,NVIDIA Quadro4 900 XGL,GPU,2002-02-19,150.0,61.95744680851064,142.0,63.0,300.0,TSMC,NVIDIA,2002
470,Intel Xeon 2.0,CPU,2002-02-25,130.0,89.0,217.0,55.0,2000.0,Intel,Intel,2002
2413,NVIDIA GeForce4 448 Go,GPU,2002-03-01,150.0,61.95744680851064,65.0,29.0,200.0,TSMC,NVIDIA,2002
3533,NVIDIA GeForce4 488 Go,GPU,2002-03-01,150.0,61.95744680851064,65.0,29.0,300.0,TSMC,NVIDIA,2002
522,Intel Pentium 4-M 1.60,CPU,2002-03-04,130.0,30.0,131.0,55.0,1600.0,Intel,Intel,2002
767,Intel Pentium 4-M 1.70,CPU,2002-03-04,130.0,30.0,131.0,55.0,1700.0,Intel,Intel,2002
1017,AMD Athlon XP 2100+,CPU,2002-03-13,180.0,72.0,150.0,37.0,1733.0,Unknown,AMD,2002
1293,Intel Pentium 4 2.4,CPU,2002-04-02,130.0,110.0,146.0,55.0,2400.0,Intel,Intel,2002
2439,ATI Radeon 7500 Mac Edition,GPU,2002-04-16,150.0,23.0,83.0,60.0,260.0,TSMC,ATI,2002
